FollowerId,FolloweeId
4662,1046
7190,3476
5914,1166
7340,4406
1472,5116
1658,5962
668,4322
1434,4160
3476,302
5082,4182
6372,2756
5828,2266
2024,6
4594,4184
3370,3778
4554,4988
2746,2654
3460,4742
2812,5688
4638,7344
3814,1272
4530,6354
6076,5358
4306,3796
2472,1514
1910,6206
4038,1030
1218,3430
4996,4830
7038,1300
470,4176
5818,2342
5446,7372
7092,5962
6056,1368
2986,2096
2420,7106
4856,7174
3416,2680
312,5416
5746,5330
4876,6472
4224,3778
6646,5228
1286,3514
328,3100
7344,4688
5498,3090
6012,1846
4706,2612
4438,6794
1952,4494
2358,6082
918,5730
5906,2398
1158,2952
5628,6022
5756,5684
86,5600
1798,3990
1220,2378
6964,2712
6900,4514
2276,3538
5258,1814
3972,2010
5214,2706
4308,3646
3972,7354
7336,7058
2318,1454
212,6090
4680,1650
2024,1842
4620,2554
1288,5032
2272,610
3596,4924
6832,3690
5380,2074
610,7010
672,1558
1098,1976
2740,6118
3552,3352
3238,3724
2500,2312
696,5812
5028,6704
6914,4266
48,312
6776,4776
4494,2090
7082,5260
1160,6730
4142,6848
3632,5230
5596,6284
1674,5338
4,3980
1048,5440
7130,288
2536,1720
5092,6548
5112,1354
5772,7244
2942,1300
1622,6600
2814,3694
3178,474
5890,1818
3950,1304
4546,6500
6910,7202
6486,720
4588,6806
3484,7024
5326,104
3196,6622
1142,6496
3324,3396
2080,2510
2976,3314
1370,1630
1032,5684
3012,6660
3960,3318
1148,4268
3200,5048
2768,7114
6282,230
6620,1364
4170,3794
5578,2030
1878,6898
1276,6028
1892,1238
422,3476
140,7380
3772,2750
696,2402
7274,2412
566,5930
174,5304
4520,2494
6886,5840
3434,2020
1650,6392
1308,2482
4226,2940
5790,812
2052,4998
3862,5484
2870,5432
1498,2402
3678,1120
5746,2274
3816,112
4144,4584
3910,1332
4204,5526
4426,6458
972,3104
4038,4286
4520,1974
890,4690
4290,6118
1796,4074
2488,5856
980,5176
4994,6448
1524,3514
5344,2250
5658,1146
4666,1656
5524,2134
6332,502
698,1612
7026,92
4024,3694
5186,1534
5134,4640
3312,7050
3206,6644
2146,5166
694,846
6480,1452
7104,3874
1160,2044
578,7392
3066,132
6394,5270
2554,458
5424,4272
7278,6696
1404,6766
2242,4684
6184,6966
396,1862
3736,3624
2522,5316
5716,484
1796,5554
5506,6874
4164,6978
6850,2052
3410,4800
790,4904
3354,6600
6912,4734
800,4600
5660,6376
6378,4196
2504,6684
3390,564
7076,3240
4038,4596
3426,4922
2002,1236
254,3484
5474,2550
6800,1690
5186,2210
4222,790
1836,4970
5512,3552
3936,6860
5150,1064
6574,6988
2872,1058
2338,4608
6834,3170
1050,6498
802,7390
4976,7160
4060,3336
4020,144
2718,454
2588,1472
3648,544
4660,2866
6688,7194
4968,2924
7024,3356
5502,96
364,7206
160,5386
5944,5840
2650,6988
4706,2006
2404,4898
5464,254
5508,3890
4340,5010
6904,4382
5360,2182
6400,1452
3254,2614
2280,3198
7122,5824
2364,2112
6982,4536
5554,3652
1410,2470
1458,3654
198,3216
2586,3094
2766,3282
6284,1560
2060,2908
6374,5002
3738,2008
4618,424
3056,1454
534,832
2204,1532
1880,6158
5964,1684
6864,2270
4256,6696
3310,4262
930,244
6198,846
6166,3224
6316,3186
6444,2192
2286,5044
5678,3012
6938,4140
5102,5678
3056,6058
5170,560
3290,1674
562,4534
1110,6492
5442,6948
2864,864
5092,1066
5528,3838
2820,2910
3790,6394
5470,1748
1928,3664
1276,3130
3756,7126
5284,4950
3908,3108
6410,2560
3686,5432
666,5296
7236,1252
3760,4158
4092,5786
1000,154
6618,122
5182,6248
5064,2850
3750,8
2428,234
4052,714
7166,2342
2508,2082
890,116
4150,5688
2518,3850
6058,4038
2200,5346
1934,782
7056,2328
3866,4016
4094,254
1586,1212
5786,3092
6600,7208
5842,5682
5616,522
2862,5346
1786,3556
142,5702
7340,6190
356,4564
7400,4362
5792,2376
1374,1750
132,1488
3328,38
4316,2128
2380,5400
4508,3092
6004,3038
4680,1856
2998,5404
1976,2380
3618,6304
1858,7120
6166,2100
5804,7018
3538,4384
2398,636
7108,3394
4776,2544
4152,328
3360,5448
126,978
6924,6636
6038,4942
2558,6684
5424,2414
2280,4008
5268,5560
6828,1240
5664,2348
5830,2968
58,4838
1522,1306
546,4484
5346,5956
3278,6870
908,2036
6906,5046
4196,7324
5926,7326
1538,4362
268,5302
5978,4738
576,198
5774,164
6740,998
3946,5446
6508,7178
1456,2866
7250,1570
5800,3082
6282,2738
6900,6490
1908,3060
1522,5926
3302,6614
6426,3192
974,6160
1462,6480
2314,1302
2018,4162
962,6906
3312,494
4436,2038
4928,3980
4250,3994
2082,5124
10,6640
5536,7162
3668,2022
1688,1392
3738,3902
3430,2384
7170,348
3828,4186
2964,1746
4148,1730
3274,2406
1456,224
304,1648
3050,6734
5214,1052
1410,5808
6802,5648
6662,5524
3776,304
992,5636
7004,3260
3290,5324
6052,4888
6444,2562
4562,3726
5790,6142
4070,5600
3928,672
872,4600
3666,5068
1132,5608
7092,6080
6050,5358
3242,5696
1154,4142
2796,6656
5546,4972
7400,3022
62,5812
3306,5860
1398,3418
944,5082
1246,3728
5538,5386
1886,4846
4144,6880
2472,2990
4066,4018
5872,3082
2782,1360
3932,2062
4372,2878
7294,5470
2472,928
6294,7080
4924,4088
4696,4624
5988,6942
2526,2406
6946,3948
5604,5124
3762,4420
3116,6312
154,7276
6646,2340
6980,7248
1968,1082
2610,1892
5264,7062
6932,6224
6240,5908
1526,4874
7384,6554
1930,7380
7114,4536
4416,4286
2394,7038
3010,3176
5246,1802
4330,3540
2484,4100
5654,3650
916,3694
732,3618
2100,5344
318,3194
3488,5094
6412,6744
2188,3626
6714,7308
5644,5728
3592,6512
3406,4868
3078,6724
894,5150
5018,962
910,1092
5736,6086
5766,7264
2120,6306
2468,5834
1282,1144
2512,116
5386,1008
4414,2048
2804,2176
6692,634
6586,1654
5748,4608
4784,6608
1400,5350
4872,2664
290,998
6562,6048
7076,2386
3030,6302
6112,2320
2174,6408
7388,3484
704,6786
3900,3476
5118,1580
7002,5970
6052,3492
6866,1752
3488,5322
7090,5444
2128,3596
3042,2078
2314,6944
650,4102
5576,4354
3700,4260
6910,6920
2238,1212
3780,6604
4148,5174
1372,6134
6798,560
1740,1334
1910,1384
2678,7094
1012,6816
1410,6274
2460,1296
1562,1904
5994,724
4036,5864
1844,2088
7012,6772
4540,3222
1916,1596
3832,3854
7130,7008
5766,5634
4948,7116
180,3244
2256,496
2986,6192
3202,6924
6782,4770
2034,5418
6440,6404
3298,6042
2150,2914
3670,4628
4,2282
1192,3476
5664,4348
